example_id,trajectory_id,matched_role,trajectory_class,pre_action_entropy_mean,commitment_action_entropy,post_action_entropy_mean,pre_action_confidence_mean,commitment_action_confidence,post_action_confidence_mean,pre_state_belief_entropy_mean,commitment_state_belief_entropy,post_state_belief_entropy_mean,pre_low_action_entropy_rate,n_pre_prefixes,n_post_prefixes,delta_commitment_minus_pre_action_entropy,delta_post_minus_pre_action_entropy,delta_post_minus_pre_action_confidence,delta_post_minus_pre_state_belief_entropy
together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_50_step_009,together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_50,control,optimal_success,0.04754590713059818,0.002159655203355,0.00015455832314569912,0.994347083568573,0.9998571872711182,0.999991774559021,0.2617899313992679,0.3209521175085827,0.3518700114524929,0.8,5,3,-0.04538625192724318,-0.04739134880745249,0.005644690990447954,0.09008008005322504
together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_56_step_007,together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_56,control,optimal_success,0.9859938085711896,0.95121484578107,0.2458292309772342,0.5526734054088592,0.6307666301727295,0.8969946056604385,0.5472121738876025,0.4944859522682292,0.31819681063588523,0.0,5,4,-0.034778962790119605,-0.7401645775939554,0.3443212002515793,-0.22901536325171723
together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_57_step_001,together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_57,control,suboptimal_success,0.46934936723512716,0.1619644120698772,0.001458858759522425,0.8996789455413818,0.9767121076583862,0.9999006688594818,0.26878549410368346,0.2336886257857711,0.268984086734618,0.0,5,4,-0.30738495516525,-0.4678905084756047,0.10022172331809998,0.00019859263093452428
together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_57_step_002,together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_57,failure,suboptimal_success,0.08295922307029358,0.0006127971497048,0.0016258562269968356,0.9878982186317444,0.9999619722366332,0.9998736381530761,0.4166405637649485,0.1704274720358432,0.1665370205290185,0.6,5,4,-0.08234642592058877,-0.08133336684329674,0.011975419521331632,-0.25010354323593
together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_57_step_003,together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_57,failure,suboptimal_success,0.8909473936237342,0.0152982668168457,0.00047567312355082,0.762442672252655,0.9987396597862244,0.9999704837799073,0.4230796770292617,0.1520394390595154,0.08295154846147088,0.0,5,5,-0.8756491268068886,-0.8904717205001834,0.23752781152725222,-0.34012812856779084
together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_57_step_004,together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_57,failure,suboptimal_success,0.9552931117253438,0.7354931968367785,0.695076717558796,0.6556349515914917,0.8045488595962524,0.7714394569396973,0.34578523234482217,0.3578951328331112,0.206312832310183,0.0,5,5,-0.21979991488856532,-0.26021639416654785,0.11580450534820563,-0.13947240003463918
together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_59_step_002,together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_59,failure,suboptimal_success,0.0381499729898682,0.6519059560436284,0.3423322290805668,0.9951557636260986,0.8329484462738037,0.918406319618225,0.3799012137397507,0.356095341148453,0.2973335414967828,0.8,5,5,0.6137559830537602,0.3041822560906986,-0.07674944400787354,-0.0825676722429679
together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_68_step_007,together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_68,control,optimal_success,0.4185510959557465,0.4321074738955404,0.3050738719486362,0.9219070196151733,0.919664978981018,0.9213488936424256,0.2929650775007055,0.3206781850478834,0.35837498786887134,0.0,5,5,0.013556377939793862,-0.1134772240071103,-0.0005581259727477361,0.06540991036816585
together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_75_step_002,together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_75,control,suboptimal_success,0.42450893918088334,0.7284789550216478,0.1048578214975087,0.8730812668800354,0.8250688910484314,0.9878520607948303,0.36676582323744616,0.3514657313371461,0.36729642075129154,0.6,5,5,0.3039700158407645,-0.3196511176833746,0.11477079391479494,0.0005305975138453767
together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_77_step_003,together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_77,failure,optimal_success,0.6632880540113592,0.7092453968934082,0.25083234501922413,0.7560356318950653,0.8066319823265076,0.9554825901985169,0.5636351421684093,0.6411151253942835,0.6747527378715951,0.0,5,5,0.045957342882049,-0.412455708992135,0.1994469583034516,0.1111175957031858
together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_80_step_004,together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_80,control,optimal_success,0.8330951012343375,0.925436051347866,0.04452534819473609,0.7242990136146545,0.6705915331840515,0.9942916989326477,0.3555638697701103,0.2049300978414935,0.275298897782135,0.0,5,5,0.0923409501135285,-0.7885697530396014,0.26999268531799314,-0.08026497198797528
together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_83_step_004,together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_83,control,optimal_success,0.5826256973832773,1.005445575220109,0.8398030855336629,0.816982877254486,0.4997633695602417,0.7281419515609742,0.3337116570775812,0.3350385710979853,0.29556835977559415,0.0,5,5,0.4228198778368317,0.2571773881503856,-0.08884092569351187,-0.03814329730198707
together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_88_step_010,together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_88,control,optimal_success,0.2833317339079896,0.0636154146665378,0.022257711311533625,0.9563503503799439,0.9934409260749816,0.9977659702301025,0.28667648029975146,0.3690859340755792,0.31756638564793993,0.0,5,5,-0.2197163192414518,-0.26107402259645596,0.041415619850158625,0.030889905348188473
together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_92_step_004,together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_92,control,suboptimal_success,0.10398817683124409,0.0013960404535998,0.008217625686666499,0.9784113764762878,0.9999141693115234,0.9993730306625366,0.5701331006820336,0.5135129073293684,0.5366530682114953,0.8,5,5,-0.10259213637764429,-0.0957705511445776,0.020961654186248735,-0.03348003247053832
