group,relative_commitment_offset,n_states,n_prefixes,median_action_entropy_bits,q25_action_entropy_bits,q75_action_entropy_bits,median_action_confidence,q25_action_confidence,q75_action_confidence,median_state_belief_entropy_bits,mean_sentence_char_length,mean_action_probability_sum
all,4,43,43,0.0706310675486218,0.00268507516135545,0.42620959720533913,0.9917696714401244,0.9294260144233704,0.9998057782649994,0.2985917148890137,33.906976744186046,1.0000000043571158
all,5,38,38,0.08895826885835176,0.0074651003324646,0.5052940288313242,0.9895099997520447,0.9068082422018051,0.9994017481803894,0.34914684121691886,41.578947368421055,0.9999999953473037
all,6,38,38,0.0843583266534241,0.00796195187031705,0.37608279705199454,0.9907132089138032,0.9359155744314194,0.9993378520011902,0.28238819855267305,42.6578947368421,0.9999999973454097
all,7,36,36,0.06354714282796001,0.007744851488745126,0.3949849070378729,0.9928494989871979,0.9354625046253203,0.9993664920330048,0.3184229883123217,38.666666666666664,1.0000000026911517
all,8,35,35,0.0367663987905601,0.0012061940866922999,0.2912854599568496,0.9964424967765808,0.9501380622386932,0.9999207854270936,0.2937452018159061,49.97142857142857,0.9999999937948332
all,9,35,35,0.0179499913985508,0.00086723354242295,0.1905444868583675,0.998348355293274,0.9762310087680817,0.9999469518661498,0.3270689457933223,40.42857142857143,0.9999999955115344
all,10,33,33,0.0108664402015699,0.0009573237943938,0.1628930993341577,0.9990549683570862,0.9766519069671632,0.9999401569366456,0.3137476987672115,46.96969696969697,0.9999999918829794
failure,-10,23,23,0.5416249963367277,0.08049345360033461,0.8004657253110048,0.8819599151611328,0.7979750633239746,0.9901809394359589,0.4379538882124986,46.91304347826087,1.0000000020930007
failure,-9,23,23,0.3270074387294897,0.1048378662006952,0.8147052514107411,0.94367516040802,0.8012588322162628,0.9863461256027222,0.4535169989927271,47.91304347826087,0.9999999992662744
failure,-8,23,23,0.4367237235954888,0.1110763485095694,0.9429109649333425,0.910482943058014,0.731369823217392,0.985829621553421,0.4193640674100785,48.52173913043478,0.9999999954604574
failure,-7,23,23,0.4153503860599569,0.12368325582387395,0.8111044156485923,0.9306451082229614,0.7833455204963684,0.9834712445735931,0.4996856461884434,42.43478260869565,1.0000000050508573
failure,-6,23,23,0.4060277515756311,0.10177385744917924,0.7932628769082617,0.9224690794944764,0.805618166923523,0.987981379032135,0.4674495891085199,46.608695652173914,1.000000006868828
